Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
M,315,Clark,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,316,Darwin,7.0,7.0,Liverpool,18,1.25,22,1.39,25,1.68,24,1.69,26,1.92,27,1.52,26,1.59,28,1.33,28,1.79,0.00
M,317,Diogo J.,7.2,7.2,Liverpool,54,3.66,55,3.44,51,3.68,53,3.81,50,3.84,51,2.88,49,2.91,50,2.41,50,3.34,0.00
M,318,Doak,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,319,Elliott,5.2,5.2,Liverpool,14,0.79,13,0.71,14,0.79,14,0.81,15,0.91,15,0.75,14,0.78,16,0.71,17,0.94,0.00
M,320,Endo,4.6,4.6,Liverpool,8,0.35,10,0.45,10,0.43,12,0.53,11,0.52,11,0.44,10,0.48,10,0.36,11,0.48,0.00
F,321,Gakpo,7.4,7.4,Liverpool,59,3.39,57,3.12,58,3.50,58,3.53,58,3.68,58,2.83,58,3.00,57,2.32,57,3.11,0.00
D,322,Gomez,4.7,4.7,Liverpool,0,0.00,0,0.00,0,0.00,1,0.07,11,0.47,21,0.76,26,1.14,29,0.89,29,1.23,0.00
M,323,Gravenberch,5.0,5.0,Liverpool,85,3.08,82,2.78,80,2.96,79,2.96,76,2.90,78,2.46,77,2.75,76,2.01,75,2.67,0.00
M,324,Jones,5.3,5.3,Liverpool,43,1.95,44,1.98,42,2.12,40,2.08,39,2.07,37,1.67,40,1.97,39,1.44,40,1.99,0.00
G,325,Kelleher,4.0,4.0,Liverpool,1,0.05,5,0.20,7,0.32,9,0.42,10,0.40,9,0.36,11,0.48,12,0.38,12,0.52,0.00
D,326,Konaté,5.2,5.2,Liverpool,90,4.24,85,3.21,81,3.83,80,3.77,78,3.28,77,2.50,76,3.18,76,2.18,77,3.29,0.06
